identifier,metric1,metric2,metric3,metric4,metric5,metric6
49-1760045,385,230,216,554,962,333
57-2726192,943,580,622,387,325,914
80-7324710,185,206,962,899,402,694
93-8653864,438,644,892,525,351,353
88-2032318,202,888,835,672,99,517
45-5148250,191,153,884,743,155,402
17-8323580,922,693,706,659,28,741
72-2996897,463,170,187,914,809,599
53-7884821,574,775,749,777,320,503
26-1931553,707,404,673,906,739,871
03-9820657,966,829,344,568,858,40
28-4194082,614,906,562,879,556,379
95-1429717,49,136,966,22,511,148
52-0911380,76,542,767,340,629,22
51-2480374,609,128,681,35,699,351
22-4293525,71,609,54,884,171,702
66-1512526,122,780,103,246,545,610
28-0612051,230,474,680,752,452,413
27-4224475,262,488,1000,432,612,548
79-6123939,928,544,429,453,316,11
21-9991134,309,840,877,924,741,137
17-6249331,684,350,937,479,61,775
44-7129673,760,319,791,125,739,821
24-7513996,831,603,635,247,712,974
32-0596956,48,508,861,16,113,525
63-3404626,669,740,33,902,61,846
44-4262303,451,417,929,701,248,201
74-1299137,194,574,949,665,821,659
42-8937714,688,458,128,510,827,835
87-6903548,403,769,723,842,123,784
23-2326096,693,414,483,962,133,355
10-3052175,785,498,590,345,520,122
13-7413436,812,487,68,112,318,630
59-6471785,184,759,745,803,596,79
36-5203931,815,443,949,260,130,41
56-9420815,224,932,643,790,538,739
22-6384510,120,295,86,697,929,134
44-0567938,109,539,743,193,3,791
99-1291958,770,309,54,361,799,832
62-3595221,166,522,845,370,631,224
10-3611763,478,27,272,204,777,202
73-1912259,288,611,786,295,417,210
98-1368760,382,681,63,66,818,749
07-1713042,598,363,626,754,841,638
28-9198150,158,776,179,935,389,113
17-1196909,386,282,452,647,610,139
52-0720013,883,855,125,671,2,509
04-2984508,477,625,239,471,922,316
30-8163456,973,867,892,906,187,255
54-7883407,565,956,795,508,235,931
06-3826771,683,456,470,101,424,219
45-4172804,422,585,798,99,102,214
85-2001690,146,153,534,917,593,781
37-4257047,92,62,667,365,97,84
48-6374681,87,589,692,609,86,117
27-2617398,37,862,316,577,820,349
06-0190525,717,619,792,827,117,819
61-5771087,306,294,494,501,537,662
60-2119926,592,356,347,644,289,199
42-4924084,139,229,193,905,268,881
49-7417581,164,246,869,107,349,772
37-6454054,121,636,275,475,421,592
69-7673970,627,719,327,870,837,265
93-1062486,118,31,126,753,778,280
58-3993679,787,534,986,78,453,623
54-6118670,565,705,684,519,307,130
61-2210342,910,26,710,958,230,315
31-0064638,832,992,584,860,474,784
77-0079223,115,758,999,948,211,568
70-2644541,252,727,223,326,78,635
07-8084779,234,786,254,368,383,12
28-4234573,470,596,742,443,324,70
09-4105612,367,957,763,767,17,429
86-5844981,129,228,806,992,694,40
65-3917143,315,117,243,170,136,21
